YEAR;MO;DY;HOUR;T
2022;2;5;2;1.498333333
2022;2;5;3;1.283333333
2022;2;5;4;1.106666667
2022;2;5;5;0.996666667
2022;2;5;6;1.045
2022;2;5;7;0.776666667
2022;2;5;8;0.97
2022;2;5;9;2.228333333
2022;2;5;10;3.208333333
2022;2;5;11;4.391666667
2022;2;5;12;4.978333333
2022;2;5;13;6.641666667
2022;2;5;14;6.431666667
2022;2;5;15;6.643333333
2022;2;5;16;5.815
2022;2;5;17;5.058333333
2022;2;5;18;4.85
2022;2;5;19;5.026666667
2022;2;5;20;5.24
2022;2;5;21;5.531666667
2022;2;5;22;5.79
2022;2;5;23;5.773333333
2022;2;6;0;5.31
2022;2;6;1;5.67
2022;2;6;2;6.11
2022;2;6;3;6.256666667
2022;2;6;4;6.21
2022;2;6;5;5.785
2022;2;6;6;5.403333333
2022;2;6;7;5.471666667
2022;2;6;8;5.57
2022;2;6;9;5.765
2022;2;6;10;5.955
2022;2;6;11;6.116666667
2022;2;6;12;6.511666667
2022;2;6;13;7.29
2022;2;6;14;5.671666667
2022;2;6;15;5.448333333
2022;2;6;16;6.41
2022;2;6;17;7.02
2022;2;6;18;7.055
2022;2;6;19;6.693333333
2022;2;6;20;4.67
2022;2;6;21;3.548333333
2022;2;6;22;2.348333333
2022;2;6;23;3.005
2022;2;7;0;3.413333333
2022;2;7;1;2.796666667
2022;2;7;2;1.353333333
2022;2;7;3;2.008333333
2022;2;7;4;2.34
2022;2;7;5;2.401666667
2022;2;7;6;2.38
2022;2;7;7;2.338333333
2022;2;7;8;2.281666667
2022;2;7;9;2.485
2022;2;7;10;3.45
2022;2;7;11;4.425
2022;2;7;12;5.548333333
2022;2;7;13;6.231666667
2022;2;7;14;7.138333333
2022;2;7;15;6.356666667
2022;2;7;16;5.545
2022;2;7;17;4.31
2022;2;7;18;3.198333333
2022;2;7;19;3
2022;2;7;20;3.563333333
2022;2;7;21;2.88
2022;2;7;22;3.36
2022;2;7;23;4.013333333
2022;2;8;0;4.041666667
2022;2;8;1;3.795
2022;2;8;2;3.996666667
2022;2;8;3;4.633333333
2022;2;8;4;5.05
2022;2;8;5;5.471666667
2022;2;8;6;5.668333333
2022;2;8;7;5.933333333
2022;2;8;8;6.265
2022;2;8;9;6.621666667
2022;2;8;10;7.208333333
2022;2;8;11;7.683333333
2022;2;8;12;7.955
