YEAR;MO;DY;HOUR;P;T
2022.0;1.0;19.0;14.0;344.8813559322034;2.636666667
2022.0;1.0;19.0;15.0;340.06779661016947;2.686666667
2022.0;1.0;19.0;16.0;341.89830508474574;2.79
2022.0;1.0;19.0;17.0;290.77966101694915;2.866666667
2022.0;1.0;19.0;18.0;261.79661016949154;3.206666667
2022.0;1.0;19.0;19.0;230.32203389830508;3.661666667
2022.0;1.0;19.0;20.0;254.72881355932202;4.1
2022.0;1.0;19.0;21.0;206.20338983050848;4.451666667
2022.0;1.0;19.0;22.0;245.64406779661016;4.58
2022.0;1.0;19.0;23.0;224.11864406779662;4.17
2022.0;1.0;20.0;0.0;9.101694915254237;3.35
2022.0;1.0;20.0;1.0;30.93220338983051;2.483333333
2022.0;1.0;20.0;2.0;23.372881355932204;2.18
2022.0;1.0;20.0;3.0;21.915254237288135;2.138333333
2022.0;1.0;20.0;4.0;27.372881355932204;2.206666667
